Title,Rooms,Price,Size,Type,Year,Location
Kaksio nurmeksen keskustassa,,45000,,Kerrostalo,,Pohjois-Karjala
Omakotitalo,,68800,,,1956,Keski-Suomi
3H 104m² Tähdentie 25 Akaa,3H,145000,10,Omakotitalo,1976,Pirkanmaa
Kaksio,,125000,,Rivitalo,2007,Pohjois-Karjala
Peruskuntoinen kerrostaloyksiö,,25000,,Kerrostalo,1974,Pohjois-Pohjanmaa
Omakotitalo Kalkunmäessä,,139000,,Omakotitalo,1983,Etelä-Pohjanmaa
Unelmien remppakohde Rovaniemeltä,,,,Omakotitalo,,Lappi
Kerrostaloyksiö,,13900,,Kerrostalo,1975,Pohjanmaa
Punkalaidun 06ha tontti,6H,139000,,Omakotitalo,,Pirkanmaa
O Leppävirta kt 3 hkparveke,,,,Kerrostalo,,Pohjois-Savo
5H 975m² Kaupintie 15 Helsinki,5H,349000,97,Kerrostalo,1983,Uusimaa
1hkk 34m2  Turun Koivulassa,1H,99900,,Kerrostalo,1985,Varsinais-Suomi
Kyläkoulu kodiksi tai mökiksi,,26000,,Omakotitalo,1956,Pohjois-Karjala
9H 432m² Päämajankuja 1 Akaa,9H,495000,43,Omakotitalo,1872,Pirkanmaa
1H 25m² Valtakatu 26 A Lappeenranta,1H,86500,25,Kerrostalo,1939,Etelä-Karjala
Kaksio tai kolmio,,,,Kerrostalo,,Pohjois-Pohjanmaa
4H 84m² Martinkatu 15 Turku,4H,275000,84,Kerrostalo,1949,Varsinais-Suomi
