Title,Rooms,Price,Size,Type,Year,Location
6H 250m² Aittastentie 145 Pyhäranta,6H,178000,250,Omakotitalo,1936,Varsinais-Suomi
Lappeenranta Kourula Katajakatu 13 3hk,3H,82000,73,Kerrostalo,1976,Etelä-Karjala
6H 194m² Sirppikatu 19 Kuopio,6H,295000,194,Omakotitalo,2005,Pohjois-Savo
4H 117m² Amiraali Cronstedtin ranta 7 A 3 Helsi,4H,849000,117,Rivitalo,2008,Uusimaa
Hyvinkää Vieremä Jaakonkatu 3 2hkkph2xvh,2H,119000,57,Rivitalo,1962,Uusimaa
5H 87m² Sahrakuja 7 Raisio,5H,239000,87,Omakotitalo,1985,Varsinais-Suomi
3H 66m² Prinssintie 6 Helsinki,3H,329000,66,Kerrostalo,1959,Uusimaa
Janakkala Tervakoski Eväsojanlenkki 11 4hkkhhph,4H,268000,112,Omakotitalo,2015,Kanta-Häme
3H 95m² Aleksanterinkatu 26 Porvoo,3H,272000,95,Kerrostalo,1931,Uusimaa
2H 575m² Taikurintie 3 Vantaa,2H,233000,57,Rivitalo,2013,Uusimaa
Vantaa Hakunila Hepokuja 6 4hkkphlasparveke y,4H,193000,94,Kerrostalo,1971,Uusimaa
1H 32m² Ahjokuja 1 Helsinki,1H,215000,32,Kerrostalo,1959,Uusimaa
2H 545m² Matruusinkatu 3 a5 Helsinki,2H,309000,54,Kerrostalo,1982,Uusimaa
Leppävirta Sorsakoski Sorsakoskentie 15 4hks,4H,5000,95,Kerrostalo,1963,Pohjois-Savo
3H 705m² Maitikkapolku 9 E Vantaa,3H,181000,70,Kerrostalo,1971,Uusimaa
2H 54m² Vuorimiehenkatu 18 Helsinki,2H,487000,54,Kerrostalo,1961,Uusimaa
Tampere Janka Alasniitynkatu 17 2HKS,2H,158000,62,Kerrostalo,1991,Pirkanmaa
2H 435m² Rouvalankuja 4 Ilmajoki,2H,60000,43,Rivitalo,1974,Etelä-Pohjanmaa
5H 143m² Nummerotie 13 Raisio,5H,328000,143,Omakotitalo,1995,Varsinais-Suomi
2H 56m² Iltaruskontie 3 B Pori,2H,118000,56,Rivitalo,2006,Satakunta
5H 200m² Sukkakuja 4 Naantali,5H,250000,200,Omakotitalo,1948,Varsinais-Suomi
1H 48m² Kullervontie 9 C Uusikaupunki,1H,168000,48,Kerrostalo,2019,Varsinais-Suomi
Helsinki MeriRastila MeriRastilantie 17 4hkkph,4H,224700,90,Kerrostalo,1992,Uusimaa
4H 1355m² Tuomikuja 6 Kempele,4H,159000,135,Omakotitalo,1980,Pohjois-Pohjanmaa
Orimattila Myllylä Myllärintie 4 2hks,2H,74000,54,Rivitalo,1982,Päijät-Häme
2H 54m² Koskelantie 15 D 23 Helsinki,2H,319000,54,Kerrostalo,1952,Uusimaa
4H 86m² Viitasuontie 10 D Helsinki,4H,265000,86,Rivitalo,1978,Uusimaa
Helsinki Lauttasaari Taivaanvuohentie 8 2hkk,2H,289000,37,Kerrostalo,1949,Uusimaa
3H 64m² Oikokatu 1 Valkeakoski,3H,200000,64,Kerrostalo,2012,Pirkanmaa
5H 1115m² Juhannuskatu 32 Turku,5H,278000,111,Rivitalo,1926,Varsinais-Suomi
1H 275m² Orioninkatu 9 B Helsinki,1H,229000,27,Kerrostalo,1957,Uusimaa
1H 255m² Laajaniitynkuja 9 C 22 Vantaa,1H,164000,25,Kerrostalo,2022,Uusimaa
16H 493m² Heponiementie 9 Jämijärvi,6H,70000,493,Rivitalo,1973,Satakunta
4H 98m² Maininkitie 14 B Espoo,4H,249000,98,Kerrostalo,1973,Uusimaa
2H 475m² Jukolantie 14 Tuusula,2H,75000,47,Kerrostalo,1971,Uusimaa
2H 46m² Poutuntie 14 Nokia,2H,125000,46,Kerrostalo,1968,Pirkanmaa
4H 692m² Kauppaneuvoksentie 14 A Helsinki,4H,540000,69,Kerrostalo,1939,Uusimaa
Espoo Tapiola Jousenpuistonkatu 10 3hkts,3H,348000,66,Kerrostalo,2022,Uusimaa
2H 485m² Näsintie 10 Merikarvia,2H,20405,48,Kerrostalo,1975,Satakunta
4H 102m² Luomanperäntie 381 Parkano,4H,189000,102,Omakotitalo,1935,Pirkanmaa
2H 335m² Linda Tannerin kuja 1 B Helsinki,2H,199500,33,Kerrostalo,2022,Uusimaa
